name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
weymouth uK,27-02-17,8,4.8,6.7,5.2,-1.2,2.6,4.3,85.15,11.87,,12.5,,,0.25,61.6,46.2,224.1,990,66.6,17.2,,,0,,2017-02-27T06:57:45,2017-02-27T17:48:04,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,28-02-17,8.5,4.3,6.5,3.7,-1.5,1.4,2.7,76.44,2.54,,12.5,,,0,64.8,54.2,272.3,990.9,34.8,19.2,,,0,,2017-02-28T06:55:40,2017-02-28T17:49:47,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,01-03-17,8.8,6.3,7.4,5.6,2.1,3.8,4.8,84.03,1.63,,8.33,,,0,59.4,58.5,220.2,1000,60.5,11.4,,,0,,2017-03-01T06:53:35,2017-03-01T17:51:29,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,02-03-17,10.2,6.4,8.2,10.2,0,4.1,3.5,73.05,4.04,,8.33,,,0,66.5,64.6,235.7,1010.6,19.5,13.4,,,0,,2017-03-02T06:51:29,2017-03-02T17:53:12,0.09,Rain,Clear conditions throughout the day with rain clearing later.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,03-03-17,10.2,7.5,8.8,10.2,2.8,5.6,7.7,92.93,11.76,,16.67,,,0,61.2,38,166.3,996.4,87.2,9.7,,,0,,2017-03-03T06:49:22,2017-03-03T17:54:53,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,04-03-17,10.1,7,8.5,10.1,2.2,4.7,5.5,81.58,1.55,,12.5,,,,57.6,45.4,238.7,989.8,40.9,16.8,,,0,,2017-03-04T06:47:15,2017-03-04T17:56:35,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,05-03-17,9.2,7,8.2,4.6,1.1,3.1,4.7,79.23,8.61,,16.67,,,,67.6,69.8,248.4,993,53,12,,,0,,2017-03-05T06:45:07,2017-03-05T17:58:16,0.25,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain throughout the day.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,06-03-17,8.4,6,7.3,6.3,2,3.4,4.1,80.5,1.05,,12.5,,,0,55.4,46.7,250.6,1006.4,59,17.4,,,0,,2017-03-06T06:42:58,2017-03-06T17:59:57,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,07-03-17,9,5.6,7.4,7.7,1.3,4.4,4.3,81.21,0.69,,8.33,,,0,,39.1,235.1,1017.5,76.7,16.6,,,0,,2017-03-07T06:40:49,2017-03-07T18:01:38,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
weymouth uK,08-03-17,10.4,9.4,10.1,10.4,5.5,8.8,10,99.25,2.92,,8.33,,,0,50,45.4,242.7,1014.1,50.4,3,,,0,,2017-03-08T06:38:39,2017-03-08T18:03:18,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"38,400,999,990,385,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
